T,X,Y,Z,RX,RY,RZ
1332557,0.7119140625,0.05078125,0.7021484375,-0.00250244140625,0.00177001953125,-0.00048828125
1332562,0.70068359375,0.04296875,0.703125,-0.00250244140625,0.00177001953125,-0.0003662109375
1332566,0.70947265625,0.05029296875,0.6884765625,-0.0023193359375,0.001953125,-0.0003662109375
1332571,0.7109375,0.0517578125,0.7041015625,-0.00262451171875,0.00164794921875,-0.00030517578125
1332577,0.69921875,0.0419921875,0.6953125,-0.00262451171875,0.00189208984375,-0.0006103515625
1332582,0.70654296875,0.046875,0.6943359375,-0.00250244140625,0.00177001953125,-0.00054931640625
1332586,0.7041015625,0.04541015625,0.705078125,-0.00238037109375,0.001708984375,-0.00030517578125
1332591,0.70654296875,0.0517578125,0.70654296875,-0.00250244140625,0.00177001953125,-0.0001220703125
1332595,0.70263671875,0.044921875,0.6904296875,-0.00262451171875,0.0015869140625,-0.000244140625
1332599,0.70361328125,0.05419921875,0.6982421875,-0.00262451171875,0.00177001953125,-0.00030517578125
1332603,0.7138671875,0.04345703125,0.70947265625,-0.0023193359375,0.00177001953125,-0.00030517578125
1332608,0.70751953125,0.04736328125,0.69677734375,-0.00250244140625,0.001953125,-0.0003662109375
1332613,0.70703125,0.0478515625,0.68896484375,-0.00262451171875,0.0015869140625,-0.00018310546875
1332617,0.7021484375,0.05078125,0.7041015625,-0.00244140625,0.00189208984375,-0.00042724609375
1332622,0.7099609375,0.0537109375,0.703125,-0.0025634765625,0.001708984375,-0.0003662109375
1332626,0.70556640625,0.04296875,0.6865234375,-0.0025634765625,0.0020751953125,-0.00042724609375
1332630,0.70849609375,0.05224609375,0.70751953125,-0.00238037109375,0.0018310546875,-0.0003662109375
1332634,0.7099609375,0.05322265625,0.69970703125,-0.00244140625,0.0018310546875,-0.00030517578125
1332639,0.70263671875,0.0498046875,0.69921875,-0.00244140625,0.0020751953125,-0.00030517578125
1332643,0.703125,0.04296875,0.7041015625,-0.00262451171875,0.00177001953125,-0.00018310546875
1332648,0.70703125,0.0390625,0.6982421875,-0.00262451171875,0.001953125,-0.0001220703125
1332652,0.70849609375,0.04052734375,0.7021484375,-0.00250244140625,0.0018310546875,-0.00030517578125
1332657,0.7099609375,0.0439453125,0.7041015625,-0.00262451171875,0.00164794921875,-0.00042724609375
1332661,0.7060546875,0.04638671875,0.70654296875,-0.00250244140625,0.002197265625,-0.000244140625
1332665,0.70751953125,0.04541015625,0.70361328125,-0.00262451171875,0.0018310546875,-0.0006103515625
1332669,0.7119140625,0.04443359375,0.6923828125,-0.00262451171875,0.00164794921875,-0.0003662109375
1332673,0.712890625,0.048828125,0.6865234375,-0.0023193359375,0.00213623046875,-0.00030517578125
1332679,0.705078125,0.05859375,0.6982421875,-0.00250244140625,0.00140380859375,-0.00054931640625
1332684,0.70849609375,0.04736328125,0.69384765625,-0.00244140625,0.00213623046875,-0.0001220703125
1332689,0.70361328125,0.0498046875,0.705078125,-0.00250244140625,0.00146484375,-0.00018310546875
1332694,0.70751953125,0.05029296875,0.69482421875,-0.00244140625,0.00201416015625,-0.0001220703125
1332698,0.70458984375,0.04736328125,0.7080078125,-0.00238037109375,0.00177001953125,-0.00042724609375
1332703,0.6982421875,0.0478515625,0.70654296875,-0.0025634765625,0.001708984375,-0.00030517578125
1332707,0.705078125,0.0478515625,0.69775390625,-0.00250244140625,0.002197265625,-6.103515625e-05
1332711,0.705078125,0.03955078125,0.6943359375,-0.0025634765625,0.0018310546875,-0.000244140625
1332716,0.70361328125,0.03515625,0.6953125,-0.0025634765625,0.001953125,-0.00048828125
1332720,0.70654296875,0.05224609375,0.70166015625,-0.00250244140625,0.0020751953125,-0.00018310546875
1332724,0.70751953125,0.0458984375,0.71142578125,-0.0025634765625,0.0015869140625,-0.00054931640625
1332728,0.7041015625,0.05224609375,0.6923828125,-0.0025634765625,0.00201416015625,-0.00018310546875
1332733,0.7080078125,0.041015625,0.693359375,-0.00250244140625,0.0020751953125,-0.0003662109375
1332737,0.70458984375,0.05029296875,0.69775390625,-0.00262451171875,0.00146484375,-0.00030517578125
1332741,0.70703125,0.05078125,0.70166015625,-0.0025634765625,0.0020751953125,-0.0001220703125
1332745,0.71240234375,0.05078125,0.7021484375,-0.00238037109375,0.0015869140625,-0.000244140625
1332750,0.70849609375,0.05322265625,0.70166015625,-0.00244140625,0.00189208984375,-0.00030517578125
