"DataStream_x","DataStream_y"
557,12.9877,
558,12.152,
559,8.8427,
560,9.8914,
561,8.9464,
562,8.6704,
563,9.9553,
564,13.6203,
565,10.3202,
566,9.677,
567,11.2318,
568,8.6216,
569,13.2234,
570,9.5867,
571,10.1979,
572,9.4946,
573,11.0241,
574,8.2418,
575,12.0184,
576,13.8171,
577,10.3901,
578,7.7561,
579,10.9689,
580,11.2422,
581,9.2688,
582,10.4802,
583,9.4524,
584,14.7279,
585,10.3708,
586,10.2392,
587,10.0307,
588,11.2524,
589,11.0274,
590,13.1499,
591,10.5215,
592,8.7424,
593,9.5119,
594,10.3646,
595,9.5599,
596,10.3222,
597,9.6566,
598,14.7305,
599,11.7634,
600,9.3639,
601,9.168,
602,10.1618,
603,12.6847,
604,10.3712,
605,13.234,
606,9.3597,
607,11.7372,
608,11.8217,
609,16.2262,
610,11.4116,
611,9.8616,
612,14.611,
613,10.5364,
614,11.5334,
615,8.5472,
616,11.3203,
617,15.934,
618,12.3074,
619,11.318,
620,10.7791,
621,10.2132,
622,12.4967,
623,11.2942,
624,10.9193,
625,12.3311,
626,13.1334,
627,11.5266,
628,12.6419,
629,10.0368,
630,10.0876,
631,9.2838,
632,12.7825,
633,11.0572,
634,9.923,
635,11.5493,
636,10.6609,
637,11.2658,
638,15.3016,
639,10.4582,
640,11.5115,
641,11.0435,
642,10.4854,
643,11.168,
644,11.2319,
645,13.773,
646,11.1033,
647,9.719,
648,12.4743,
649,11.7816,
650,12.9148,
651,11.0269,
652,11.1596,
653,9.5229,
654,13.0237,
655,14.7184,
656,11.8741,
657,11.01,
658,11.5686,
659,12.7956,
660,11.6095,
661,11.2707,
662,9.7364,
663,11.6816,
664,13.8261,
665,9.752,
666,11.1384,
667,12.0462,
668,12.8907,
669,13.3149,
670,10.8536,
671,10.8326,
672,12.8214,
673,11.6406,
674,12.8533,
675,13.5814,
676,13.507,
677,11.9206,
678,10.6502,
679,13.2386,
680,10.7267,
681,14.95,
682,11.6842,
683,11.1328,
684,9.2014,
685,16.2101,
686,12.4009,
687,9.9219,
688,14.1959,
689,12.8204,
690,15.792,
691,11.3744,
692,13.6165,
693,12.2654,
694,16.9413,
695,12.4564,
696,11.9408,
697,14.6597,
698,9.4666,
699,11.8531,
700,11.2475,
701,13.4431,
702,12.2,
703,12.0951,
704,9.1605,
705,16.7628,
706,11.7294,
707,11.6561,
708,10.7053,
709,11.1803,
710,14.6192,
711,16.8557,
712,12.7175,
713,14.77,
714,12.2141,
715,11.9354,
716,11.367,
717,13.3178,
718,11.5952,
719,12.351,
720,11.7135,
721,13.978,
722,10.1279,
723,12.2552,
724,12.6654,
725,16.9247,
726,12.0513,
727,11.3872,
728,13.2656,
729,16.8266,
730,14.2968,
731,13.8191,
732,12.0423,
733,13.8108,
734,11.0467,
735,13.4432,
736,15.681,
737,12.3682,
738,12.9801,
739,12.7743,
740,15.2615,
741,11.7086,
742,14.3912,
743,12.7144,
744,15.0388,
745,13.5608,
746,12.5328,
747,14.4243,
748,12.4476,
749,11.2998,
750,13.6569,
751,17.8832,
752,11.6803,
753,13.0693,
754,14.9589,
755,12.8903,
756,11.5632,
757,13.5865,
758,16.1572,
759,13.8347,
760,13.9403,
761,13.5826,
762,14.551,
763,11.6207,
764,11.214,
765,13.1452,
766,18.0085,
767,11.5606,
768,16.0148,
769,15.3566,
770,14.7205,
771,12.4255,
772,12.063,
773,14.575,
774,15.3802,
775,12.5753,
776,14.1407,
777,16.4919,
778,13.5827,
779,12.8385,
780,11.9539,
781,14.2016,
782,14.1604,
783,12.0424,
784,14.4158,
785,16.9092,
786,13.6068,
787,14.628,
788,13.8911,
789,12.6563,
790,12.9622,
791,15.0652,
792,12.2999,
793,11.7591,
794,12.8955,
795,14.4544,
796,12.136,
797,12.4258,
798,11.3724,
799,17.0001,
800,13.8432,
801,14.1912,
802,19.7083,
803,15.0931,
804,15.0464,
805,16.4263,
806,11.5761,
807,12.6734,
808,11.1749,
809,12.4994,
810,10.1762,
811,11.9967,
812,11.9004,
813,10.9956,
814,12.4196,
815,16.2956,
816,13.9221,
817,12.2009,
818,13.8589,
819,13.8002,
820,12.143,
821,16.3535,
822,13.1923,
823,10.4893,
824,11.273,
825,13.7307,
826,13.5859,
827,10.8438,
828,11.7911,
829,12.0777,
830,13.0602,
831,12.7532,
832,13.4457,
833,14.4264,
834,12.1329,
835,13.7071,
836,20.0681,
837,15.3408,
838,12.7262,
839,13.5296,
840,14.1213,
841,11.2385,
842,12.9415,
843,11.7494,
844,11.8917,
845,13.2305,
846,12.9129,
847,12.7561,
848,13.7979,
849,13.267,
850,14.5377,
851,19.2339,
852,15.7807,
853,12.7427,
854,11.4018,
855,16.4628,
856,14.8703,
857,11.5473,
858,13.4436,
859,16.0689,
860,14.1192,
861,12.9622,
862,13.3338,
863,13.1972,
864,15.8044,
865,21.7496,
866,13.1894,
867,13.0093,
868,11.7262,
869,11.7687,
870,15.0619,
871,12.7395,
872,12.0654,
873,11.5805,
874,13.1735,
875,11.952,
876,18.1926,
877,15.686,
878,14.5094,
879,13.6798,
880,13.4201,
881,13.0251,
882,11.9137,
883,14.7355,
884,10.6416,
885,15.3244,
886,13.3096,
887,12.4332,
888,14.6041,
889,12.7422,
890,12.3657,
891,14.5825,
892,12.7067,
893,12.9451,
894,12.7758,
895,12.4308,
896,14.6562,
897,13.5832,
898,13.6889,
899,18.3026,
900,13.1761,
901,13.5103,
902,11.9256,
903,12.4244,
904,12.4497,
905,13.0843,
906,17.2593,
907,13.8862,
908,14.1557,
909,14.3937,
910,16.5421,
911,14.3788,
912,15.756,
913,15.2645,
914,12.5165,
915,12.2027,
916,11.6835,
917,13.758,
918,13.0492,
919,13.8211,
920,13.1007,
921,12.8963,
922,13.1663,
923,12.2617,
924,13.2586,
925,19.0105,
926,14.425,
927,13.2692,
928,14.5114,
929,14.1872,
930,13.9376,
931,13.1129,
932,15.4792,
933,12.6113,
934,13.2915,
935,14.2308,
936,13.1408,
937,14.118,
938,13.7288,
939,16.3007,
940,16.1559,
941,12.2992,
942,13.1809,
943,12.8913,
944,15.0223,
945,14.1455,
946,13.8459,
947,13.8013,
948,15.1633,
949,16.8098,
950,13.2665,
951,13.9777,
952,14.4134,
953,13.9095,
954,19.473,
955,15.4165,
956,14.9543,
957,12.8969,
958,13.3693,
959,14.8869,
960,13.7353,
961,14.1377,
962,13.792,
963,13.7708,
964,13.9895,
965,13.1684,
966,13.8694,
967,13.5901,
968,17.0115,
969,17.8232,
970,13.3521,
971,12.4422,
972,16.3152,
973,13.8359,
974,13.8719,
975,13.8915,
976,13.1515,
977,12.7479,
978,13.5422,
979,12.7574,
980,15.4778,
981,13.7899,
982,16.8556,
983,18.8503,
984,16.447,
985,13.8904,
986,14.134,
987,16.63,
988,12.7907,
989,14.2418,
990,14.0484,
991,14.1955,
992,13.5796,
993,13.7689,
994,13.3519,
995,17.9254,
996,18.7809,
997,18.2206,
998,15.8864,
999,15.1664,
1000,19.0233,
1001,13.8169,
1002,14.8969,
1003,13.4955,
1004,14.1799,
1005,12.5943,
1006,13.8454,
1007,15.0535,
1008,14.4448,
1009,19.3618,
1010,14.5163,
1011,14.8026,
1012,14.1277,
1013,17.0616,
1014,15.6753,
1015,12.9877,
1016,16.3591,
1017,14.3077,
1018,14.5779,
1019,13.5376,
1020,15.0467,
1021,16.1517,
1022,18.2462,
1023,19.6604,
1024,15.226,
1025,17.2393,
1026,14.6657,
1027,14.4502,
1028,13.5871,
1029,14.4566,
1030,13.0487,
1031,14.4853,
1032,14.8168,
1033,14.756,
1034,14.8244,
1035,14.8328,
1036,19.6431,
1037,17.4658,
1038,15.6811,
1039,14.3596,
1040,18.5941,
1041,15.352,
1042,13.9641,
1043,15.2869,
1044,16.3381,
1045,14.959,
1046,16.2253,
1047,16.0315,
1048,21.9469,
1049,22.8799,
1050,19.366,
1051,18.231,
1052,14.524,
1053,15.9693,
1054,14.9767,
1055,12.9764,
1056,16.4235,
1057,14.3767,
1058,13.2894,
1059,15.377,
1060,17.895,
1061,14.2377,
1062,18.7278,
1063,20.0931,
1064,16.1611,
1065,14.3566,
1066,16.8301,
1067,14.5806,
1068,13.7947,
1069,16.1441,
1070,14.4921,
1071,13.844,
1072,13.4764,
1073,22.5962,
1074,16.2118,
1075,12.8665,
1076,15.9496,
1077,17.2182,
1078,15.7983,
1079,15.2299,
1080,14.4538,
1081,17.2349,
1082,12.9331,
1083,16.2643,
1084,16.5001,
1085,15.8139,
1086,14.6287,
1087,15.3079,
1088,18.6883,
1089,15.6936,
1090,15.4258,
1091,19.384,
1092,14.9672,
1093,16.8006,
1094,12.8296,
1095,14.3988,
1096,16.3242,
1097,13.8207,
1098,15.1494,
1099,14.532,
1100,16.0654,
1101,17.3036,
1102,14.9439,
1103,19.5254,
1104,15.3145,
1105,17.5357,
1106,14.9781,
1107,14.6882,
1108,15.1993,
1109,17.7461,
1110,17.0038,
1111,15.2156,
1112,19.0372,
1113,17.2434,
1114,15.0681,
1115,19.6469,
1116,16.6863,
1117,14.8734,
1118,17.0476,
1119,14.6106,
1120,14.5663,
1121,13.6601,
1122,19.166,
1123,13.8356,
1124,15.4758,
1125,17.5813,
1126,16.5935,
1127,18.0903,
