"DataStream_x","DataStream_y"
576,17.8284,
577,19.6014,
578,18.2924,
579,16.8568,
580,19.3592,
581,17.259,
582,18.0577,
583,19.1476,
584,19.1202,
585,18.9328,
586,20.5586,
587,19.817,
588,18.5733,
589,20.1011,
590,17.8179,
591,16.5669,
592,19.569,
593,16.947,
594,19.1431,
595,16.8016,
596,16.9025,
597,19.8389,
598,17.4438,
599,18.3138,
600,20.3539,
601,17.2021,
602,21.0151,
603,18.8774,
604,18.7886,
605,21.675,
606,18.7504,
607,19.138,
608,22.7658,
609,17.4767,
610,21.4983,
611,17.7576,
612,18.1703,
613,21.9994,
614,17.7506,
615,21.4803,
616,17.4234,
617,17.5627,
618,17.0944,
619,17.0974,
620,20.9036,
621,21.7368,
622,17.6999,
623,17.4161,
624,17.9247,
625,22.9808,
626,18.1874,
627,20.889,
628,20.2734,
629,17.6823,
630,20.5401,
631,17.3157,
632,19.8677,
633,17.5204,
634,17.9352,
635,22.553,
636,17.7856,
637,20.5138,
638,17.2329,
639,17.5007,
640,22.9309,
641,19.5636,
642,24.768,
643,19.8202,
644,24.2354,
645,20.0576,
646,20.9618,
647,19.1855,
648,18.7079,
649,22.161,
650,18.7474,
651,17.931,
652,21.8645,
653,18.3542,
654,20.5121,
655,18.7841,
656,17.4803,
657,18.3369,
658,20.996,
659,17.7418,
660,18.3882,
661,21.7505,
662,19.4588,
663,24.5338,
664,19.9381,
665,24.1684,
666,20.0453,
667,21.9391,
668,19.8191,
669,19.1287,
670,17.8773,
671,20.9595,
672,18.3764,
673,18.6371,
674,20.8288,
675,18.4971,
676,23.0806,
677,18.8503,
678,19.6834,
679,22.5737,
680,18.0718,
681,20.6355,
682,18.6592,
683,21.0498,
684,20.5897,
685,18.7991,
686,23.0133,
687,18.7728,
688,20.3468,
689,18.7214,
690,21.3787,
691,19.5735,
692,18.5345,
693,21.3109,
694,19.0825,
695,22.5514,
696,19.3972,
697,18.6312,
698,21.7698,
699,17.9127,
700,20.265,
701,18.0313,
702,19.125,
703,21.0335,
704,18.6659,
705,18.8743,
706,21.3222,
707,18.9993,
708,18.3596,
709,20.7178,
710,18.3899,
711,20.804,
712,19.2646,
713,18.2276,
714,21.0848,
715,20.0182,
716,21.8184,
717,19.4836,
718,18.7995,
719,21.452,
720,18.5864,
721,18.5759,
722,20.9206,
723,18.6479,
724,20.7998,
725,19.9112,
726,19.047,
727,19.9432,
728,24.0443,
729,19.2332,
730,19.0847,
731,24.0309,
732,19.1649,
733,19.1741,
734,22.1604,
735,19.2098,
736,22.7334,
737,18.7974,
738,19.491,
739,24.6682,
740,22.502,
741,21.7303,
742,20.1811,
743,21.646,
744,19.3896,
745,19.6106,
746,22.9413,
747,20.4618,
748,21.7233,
749,22.7686,
750,20.0431,
751,22.8169,
752,19.7929,
753,23.6117,
754,20.245,
755,22.8416,
756,20.4814,
757,22.199,
758,21.0317,
759,20.0733,
760,22.2092,
761,19.8649,
762,19.8241,
763,24.417,
764,20.3295,
765,24.9356,
766,21.2911,
767,26.8464,
768,20.5065,
769,22.8968,
770,19.4335,
771,21.9875,
772,19.7029,
773,22.3164,
774,20.9503,
775,21.773,
776,23.069,
777,20.4514,
778,23.1878,
779,19.6431,
780,19.7663,
781,22.4849,
782,19.9248,
783,22.5047,
784,20.0612,
785,22.5711,
786,23.4355,
787,23.0243,
788,19.8417,
789,21.9878,
790,20.4009,
791,20.0785,
792,22.1561,
793,20.434,
794,19.736,
795,20.7656,
796,24.5172,
797,23.6272,
798,21.3747,
799,25.4504,
800,20.2574,
801,20.1216,
802,19.9671,
803,21.884,
804,20.821,
805,21.6953,
806,22.1504,
807,20.9923,
808,21.5213,
809,25.606,
810,20.6218,
811,20.5534,
812,26.0582,
813,20.7864,
814,20.924,
815,22.7736,
816,21.0137,
817,21.1098,
818,25.3085,
819,20.8964,
820,22.2645,
821,24.6793,
822,20.9762,
823,22.4841,
824,26.4291,
825,20.9306,
