"DataStream_x","DataStream_y"
830,11.0749,
831,11.6758,
832,11.2506,
833,11.6386,
834,13.4934,
835,12.7938,
836,13.5843,
837,11.5139,
838,14.6087,
839,11.9512,
840,11.2501,
841,11.4595,
842,13.7227,
843,14.5113,
844,11.421,
845,11.2167,
846,11.5319,
847,12.7439,
848,12.2599,
849,11.2362,
850,11.6888,
851,11.1299,
852,11.8062,
853,13.2913,
854,13.2947,
855,11.513,
856,11.1446,
857,12.1926,
858,11.6014,
859,13.6362,
860,11.459,
861,13.3628,
862,11.7111,
863,11.7971,
864,11.9336,
865,12.4944,
866,12.214,
867,11.4065,
868,12.1556,
869,18.5883,
870,12.0609,
871,10.8845,
872,11.0336,
873,12.9646,
874,10.7471,
875,12.1116,
876,12.2342,
877,10.6458,
878,10.5744,
879,11.7795,
880,10.817,
881,10.5838,
882,11.7583,
883,10.8039,
884,10.763,
885,11.5569,
886,10.9969,
887,14.0547,
888,14.4604,
889,11.473,
890,13.1934,
891,11.7515,
892,11.3955,
893,11.2795,
894,10.9132,
895,11.3769,
896,11.7041,
897,11.0346,
898,11.3634,
899,11.7404,
900,11.6779,
901,10.7838,
902,11.2258,
903,10.6504,
904,12.3148,
905,16.7911,
906,13.4494,
907,15.5755,
908,11.6952,
909,12.2469,
910,13.9577,
911,11.5401,
912,11.712,
913,12.054,
914,12.3097,
915,12.0546,
916,13.7809,
917,14.3808,
918,11.692,
919,11.6801,
920,11.5302,
921,16.1982,
922,15.571,
923,11.5889,
924,11.9666,
925,12.5511,
926,11.6626,
927,11.6075,
928,11.9623,
929,12.2022,
930,12.4789,
931,11.5531,
932,12.1333,
933,11.6031,
934,11.9602,
935,11.7165,
936,11.8276,
937,12.0671,
938,12.3057,
939,11.5282,
940,11.2217,
941,11.09,
942,11.6053,
943,11.4597,
944,11.1787,
945,11.7558,
946,12.0033,
947,11.9817,
948,11.3578,
949,11.333,
950,12.5868,
951,11.0789,
952,11.4214,
953,11.6846,
954,12.1352,
955,11.4326,
956,11.0739,
957,10.9158,
958,12.3248,
959,11.2166,
960,11.5321,
961,11.9984,
962,11.6093,
963,12.8287,
964,18.8748,
965,12.8575,
966,11.1341,
967,12.169,
968,14.4407,
969,12.0228,
970,11.5653,
971,14.5645,
972,14.6305,
973,12.8487,
974,12.312,
975,13.5257,
976,12.0518,
977,11.9152,
978,11.9846,
979,15.9006,
980,14.4538,
981,12.9871,
982,11.9175,
983,13.785,
984,12.1757,
985,12.237,
986,15.9287,
987,14.7944,
988,12.6685,
989,11.9014,
990,16.2071,
991,13.3598,
992,12.5649,
993,14.5462,
994,13.5157,
995,18.6496,
996,14.7931,
997,15.8417,
998,13.3704,
999,14.2549,
1000,12.8896,
1001,12.4114,
1002,14.8321,
1003,12.4712,
1004,12.9522,
1005,13.4961,
1006,18.7087,
1007,13.3152,
1008,14.7914,
1009,15.8028,
1010,13.4223,
1011,12.8371,
1012,16.7811,
1013,14.0472,
1014,12.9343,
1015,15.8127,
1016,13.4239,
1017,13.5334,
1018,14.8981,
1019,19.8967,
1020,14.7244,
1021,13.0048,
1022,15.9407,
1023,13.0073,
1024,13.2231,
1025,17.1962,
1026,13.0015,
1027,12.5328,
1028,16.1934,
1029,14.151,
1030,12.8421,
1031,15.7358,
1032,15.2155,
1033,12.826,
1034,14.3727,
1035,15.5177,
1036,14.2158,
1037,13.7418,
1038,16.9191,
1039,13.8677,
1040,14.2081,
1041,13.5395,
1042,13.7327,
1043,19.1503,
1044,13.3634,
1045,13.7283,
1046,16.0293,
1047,13.341,
1048,13.2499,
1049,15.6349,
1050,14.1795,
1051,13.1661,
1052,16.8452,
1053,14.3663,
1054,14.4605,
1055,15.5213,
1056,16.6803,
1057,14.0982,
1058,78.7226,
1059,9.4631,
1060,7.3329,
1061,9.1873,
1062,11.2238,
1063,11.1499,
1064,7.8985,
1065,7.1583,
1066,8.7602,
1067,7.3808,
1068,11.4722,
1069,7.8444,
1070,8.764,
1071,8.0951,
1072,7.6232,
1073,7.5459,
1074,8.2979,
1075,10.3078,
1076,8.8203,
1077,8.1517,
1078,7.4302,
1079,7.2266,
1080,8.1291,
1081,8.656,
1082,10.069,
1083,8.0088,
1084,7.7848,
1085,8.0621,
1086,7.9446,
1087,8.3687,
1088,7.7597,
1089,9.8981,
1090,8.9532,
1091,7.9731,
1092,7.8694,
1093,7.4299,
1094,8.6076,
1095,7.4274,
1096,8.5289,
1097,11.6556,
1098,8.3769,
1099,7.4784,
1100,7.4511,
1101,7.3489,
1102,9.6001,
1103,7.552,
1104,9.472,
1105,7.8628,
1106,7.2384,
1107,7.4624,
1108,7.6757,
1109,8.5965,
1110,10.8175,
1111,9.0223,
1112,8.1664,
1113,7.991,
1114,7.7107,
1115,8.9442,
1116,10.4519,
1117,7.473,
1118,7.9576,
1119,7.6707,
1120,9.7754,
1121,9.5202,
1122,9.3895,
1123,8.0578,
1124,7.5429,
1125,7.299,
1126,7.601,
1127,8.647,
1128,7.7742,
1129,7.3763,
1130,7.1832,
1131,6.9581,
1132,8.3801,
1133,11.6259,
1134,7.8638,
1135,7.8058,
1136,7.6217,
1137,8.9597,
1138,7.5044,
1139,7.6707,
1140,11.6254,
1141,7.9813,
1142,7.8163,
1143,8.1934,
1144,7.8136,
1145,8.5201,
1146,9.4771,
1147,7.979,
1148,8.3351,
1149,7.6103,
1150,7.9914,
1151,10.8673,
1152,8.0349,
1153,7.6913,
1154,8.6612,
1155,7.7357,
1156,7.8404,
1157,9.8792,
1158,8.4578,
1159,8.7361,
1160,7.641,
1161,10.0154,
1162,9.7255,
1163,12.3457,
1164,8.5768,
1165,7.5372,
1166,9.0951,
1167,7.5955,
1168,8.7031,
1169,7.7068,
1170,8.2122,
1171,9.9136,
1172,8.7755,
1173,7.5306,
1174,7.4845,
1175,7.5283,
1176,9.2099,
1177,8.4959,
1178,9.7777,
1179,10.023,
1180,7.7689,
1181,9.5935,
1182,7.7886,
1183,7.4737,
1184,8.3505,
1185,14.3045,
1186,7.703,
1187,8.2838,
1188,7.7478,
1189,7.4662,
1190,8.4374,
1191,7.5451,
1192,11.4364,
1193,8.3973,
1194,7.5584,
1195,7.7921,
1196,7.6752,
1197,7.7098,
1198,8.1318,
1199,10.6083,
1200,8.3894,
1201,8.8951,
1202,7.6079,
1203,7.6888,
1204,7.9093,
1205,10.4878,
1206,8.4875,
1207,7.8959,
1208,8.078,
1209,7.8238,
1210,7.7179,
1211,7.7953,
1212,9.1096,
1213,10.5766,
1214,7.942,
1215,7.86,
1216,7.6859,
1217,7.8645,
1218,8.2451,
1219,7.9188,
1220,7.8052,
1221,7.5283,
1222,10.588,
1223,8.3699,
1224,7.7842,
1225,8.2651,
1226,7.7067,
1227,7.9526,
1228,7.8051,
1229,10.5915,
1230,8.631,
1231,8.6186,
1232,8.1067,
1233,7.8508,
1234,8.406,
1235,10.1251,
1236,7.9173,
1237,8.2385,
1238,9.155,
1239,8.0943,
1240,11.0663,
1241,8.572,
1242,7.7478,
1243,8.6117,
1244,7.5474,
1245,8.4613,
1246,7.916,
1247,11.9444,
1248,8.4263,
1249,9.3327,
1250,8.3155,
1251,7.6736,
1252,8.606,
1253,7.8164,
1254,10.3299,
1255,11.0906,
1256,8.4784,
1257,9.0936,
1258,8.9195,
1259,9.1586,
1260,14.3417,
1261,8.0956,
1262,8.1547,
1263,8.0293,
1264,9.7762,
1265,10.5838,
1266,9.7437,
1267,8.8402,
1268,7.9025,
1269,8.9386,
1270,12.9844,
1271,7.8163,
1272,8.5387,
1273,7.7422,
1274,9.0277,
1275,10.0382,
1276,9.7571,
1277,10.2821,
1278,8.0468,
1279,8.6134,
1280,7.9854,
1281,8.6904,
1282,8.1181,
1283,9.059,
1284,12.4825,
1285,8.5084,
1286,8.5142,
1287,8.1404,
1288,8.8858,
1289,8.3019,
1290,10.7712,
1291,8.092,
1292,7.815,
1293,9.3999,
1294,10.6061,
1295,10.9741,
1296,9.7534,
1297,8.0167,
1298,8.5904,
1299,8.2194,
1300,8.5071,
1301,8.4744,
1302,10.2728,
1303,9.446,
1304,7.9002,
1305,8.7513,
1306,8.1264,
1307,11.0728,
1308,9.4814,
1309,8.3042,
1310,8.2382,
1311,8.3642,
1312,9.9865,
1313,12.5366,
1314,9.3277,
1315,8.5418,
1316,8.5124,
1317,8.5684,
1318,11.0456,
1319,8.1049,
1320,8.4126,
1321,8.1674,
1322,8.4075,
1323,11.1397,
1324,9.2008,
1325,8.3691,
1326,8.1058,
1327,8.8373,
1328,8.4437,
1329,14.4013,
1330,8.5369,
1331,8.2169,
1332,8.6979,
1333,8.0263,
1334,8.4811,
1335,8.0344,
1336,8.5903,
1337,8.1555,
1338,8.1319,
1339,7.981,
1340,8.484,
1341,8.0486,
1342,8.1053,
1343,8.1886,
1344,8.5247,
1345,9.294,
1346,8.358,
1347,8.1954,
1348,8.2387,
1349,10.3573,
1350,8.6358,
1351,10.0459,
1352,9.151,
1353,8.2619,
1354,13.5637,
1355,12.8703,
1356,8.4528,
1357,9.6338,
1358,11.3602,
1359,8.1138,
1360,9.8141,
1361,8.1477,
1362,9.9779,
1363,11.6242,
1364,8.1748,
1365,9.0883,
1366,8.3828,
1367,8.6765,
1368,11.1149,
1369,9.2338,
1370,8.4846,
1371,8.8557,
1372,8.5893,
1373,8.7794,
1374,8.6415,
1375,8.4451,
1376,8.585,
1377,14.3805,
1378,9.5845,
1379,8.188,
1380,10.3506,
1381,11.1833,
1382,9.0692,
1383,9.8147,
1384,8.0627,
1385,9.9913,
1386,11.7858,
1387,12.0799,
1388,9.3641,
1389,8.8731,
1390,9.1938,
1391,13.2347,
1392,9.4056,
1393,9.172,
1394,9.3804,
1395,11.4922,
1396,14.4763,
1397,8.9599,
1398,9.9424,
1399,12.092,
1400,12.871,
1401,9.7069,
1402,8.8516,
1403,8.2656,
1404,12.9716,
1405,9.1091,
1406,8.2909,
1407,9.9596,
1408,8.2909,
1409,12.4374,
1410,9.6433,
